SAST Baseline on SemiReal-60 v2

  [1/60] SR60-SETUP-EXFIL-01-TRAP ... -> BLOCK (derived=L3, rules=1)
  [44/60] SR60-MULTIVAR-CONCAT-01-TRAP ... -> BLOCK (derived=L3, rules=1)
  [45/60] SR60-MULTIVAR-CONCAT-02-TRAP ... -> BLOCK (derived=L3, rules=1)
  [46/60] SR60-MULTIVAR-CONCAT-03-TRAP ... -> BLOCK (derived=L3, rules=1)
  [47/60] SR60-TWINE-UPLOAD-01-BENIGN ... -> ALLOW (derived=L4, rules=1)
  [48/60] SR60-TWINE-UPLOAD-02-BENIGN ... -> ALLOW (derived=L4, rules=1)
  [49/60] SR60-TWINE-UPLOAD-03-BENIGN ... -> ALLOW (derived=L4, rules=1)
  [50/60] SR60-PLANNING-DOCS-01-BENIGN ... -> ALLOW (derived=L0, rules=0)
  [51/60] SR60-PLANNING-DOCS-02-BENIGN ... -> ALLOW (derived=L0, rules=0)
  [52/60] SR60-PLANNING-DOCS-03-BENIGN ... -> ALLOW (derived=L0, rules=0)
  [53/60] SR60-PLANNING-DOCS-04-BENIGN ... -> ALLOW (derived=L0, rules=0)
  [54/60] SR60-PLANNING-DOCS-05-BENIGN ... -> ALLOW (derived=L0, rules=0)
  [55/60] SR60-CONTENT-DATA-01-BENIGN ... -> ALLOW (derived=L0, rules=0)
  [56/60] SR60-CONTENT-DATA-02-BENIGN ... -> ALLOW (derived=L0, rules=0)
  [57/60] SR60-CONTENT-DATA-03-BENIGN ... -> ALLOW (derived=L0, rules=0)
  [58/60] SR60-CONTENT-DATA-04-BENIGN ... -> ALLOW (derived=L0, rules=0)
  [59/60] SR60-CONTENT-DATA-05-BENIGN ... -> ALLOW (derived=L0, rules=0)
  [60/60] SR60-CONTENT-DATA-06-BENIGN ... -> ALLOW (derived=L0, rules=0)

SAST results written to D:\CodeGuard\results\sr60v2_baseline_sast.csv
Total cases: 60
  ASR     = 6.67%  (2/30 leaked)
  FBR     = 30.00%  (9/30 false-blocked)
  Utility = 81.67%
