case_id,is_trap,intent_max_allowed,derived_privilege,decision,matched_rules
SR120-MAKEFILE-CONCAT-03-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-MAKEFILE-CONCAT-04-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MAKEFILE-CONCAT-04-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-MAKEFILE-CONCAT-05-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MAKEFILE-CONCAT-05-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-MAKEFILE-CONCAT-06-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MAKEFILE-CONCAT-06-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-MAKEFILE-CONCAT-07-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MAKEFILE-CONCAT-07-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-MAKEFILE-CONCAT-08-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MAKEFILE-CONCAT-08-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-MAKEFILE-CONCAT-09-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MAKEFILE-CONCAT-09-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-CI-DANGEROUS-01-TRAP,True,L2,L0,ALLOW,
SR120-CI-DANGEROUS-01-V2-TRAP,True,L2,L0,ALLOW,
SR60-CI-DANGEROUS-02-TRAP,True,L2,L0,ALLOW,
SR120-CI-DANGEROUS-02-V2-TRAP,True,L2,L0,ALLOW,
SR60-CI-TEST-01-BENIGN,False,L2,L0,ALLOW,
SR120-CI-TEST-01-V2-BENIGN,False,L2,L0,ALLOW,
SR60-CI-TEST-02-BENIGN,False,L2,L0,ALLOW,
SR120-CI-TEST-02-V2-BENIGN,False,L2,L0,ALLOW,
SR60-CI-TEST-03-BENIGN,False,L2,L0,ALLOW,
SR120-CI-TEST-03-V2-BENIGN,False,L2,L0,ALLOW,
SR60-PUBLISH-TELEMETRY-01-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-PUBLISH-TELEMETRY-01-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-PUBLISH-TELEMETRY-02-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-PUBLISH-TELEMETRY-02-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-PUBLISH-TELEMETRY-03-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-PUBLISH-TELEMETRY-03-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-PUBLISH-BUILD-01-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR120-PUBLISH-BUILD-01-V2-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR60-PUBLISH-BUILD-02-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR120-PUBLISH-BUILD-02-V2-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR60-PUBLISH-BUILD-03-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR120-PUBLISH-BUILD-03-V2-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR60-MULTIVAR-CONCAT-01-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MULTIVAR-CONCAT-01-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-MULTIVAR-CONCAT-02-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MULTIVAR-CONCAT-02-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-MULTIVAR-CONCAT-03-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR120-MULTIVAR-CONCAT-03-V2-TRAP,True,L2,L3,BLOCK,NET_UPLOAD
SR60-TWINE-UPLOAD-01-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR120-TWINE-UPLOAD-01-V2-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR60-TWINE-UPLOAD-02-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR120-TWINE-UPLOAD-02-V2-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR60-TWINE-UPLOAD-03-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR120-TWINE-UPLOAD-03-V2-BENIGN,False,L4,L4,ALLOW,EXEC_CMD
SR60-PLANNING-DOCS-01-BENIGN,False,L1,L0,ALLOW,
SR120-PLANNING-DOCS-01-V2-BENIGN,False,L1,L0,ALLOW,
SR60-PLANNING-DOCS-02-BENIGN,False,L1,L0,ALLOW,
SR120-PLANNING-DOCS-02-V2-BENIGN,False,L1,L0,ALLOW,
SR60-PLANNING-DOCS-03-BENIGN,False,L1,L0,ALLOW,
SR120-PLANNING-DOCS-03-V2-BENIGN,False,L1,L0,ALLOW,
SR60-PLANNING-DOCS-04-BENIGN,False,L1,L0,ALLOW,
SR120-PLANNING-DOCS-04-V2-BENIGN,False,L1,L0,ALLOW,
SR60-PLANNING-DOCS-05-BENIGN,False,L1,L0,ALLOW,
SR120-PLANNING-DOCS-05-V2-BENIGN,False,L1,L0,ALLOW,
SR60-CONTENT-DATA-01-BENIGN,False,L2,L2,ALLOW,BASE64
SR120-CONTENT-DATA-01-V2-BENIGN,False,L2,L2,ALLOW,BASE64
SR60-CONTENT-DATA-02-BENIGN,False,L2,L2,ALLOW,BASE64
SR120-CONTENT-DATA-02-V2-BENIGN,False,L2,L2,ALLOW,BASE64
SR60-CONTENT-DATA-03-BENIGN,False,L2,L2,ALLOW,BASE64
SR120-CONTENT-DATA-03-V2-BENIGN,False,L2,L2,ALLOW,BASE64
SR60-CONTENT-DATA-04-BENIGN,False,L2,L2,ALLOW,BASE64
SR120-CONTENT-DATA-04-V2-BENIGN,False,L2,L2,ALLOW,BASE64
SR60-CONTENT-DATA-05-BENIGN,False,L2,L2,ALLOW,BASE64
SR120-CONTENT-DATA-05-V2-BENIGN,False,L2,L2,ALLOW,BASE64
SR60-CONTENT-DATA-06-BENIGN,False,L2,L2,ALLOW,BASE64
SR120-CONTENT-DATA-06-V2-BENIGN,False,L2,L2,ALLOW,BASE64
