case_id,is_trap,intent_max_allowed,behaviors_count,derived_privilege,decision,reasons
SR60-PUBLISH-TELEMETRY-02-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
SR120-PUBLISH-TELEMETRY-02-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
SR60-PUBLISH-TELEMETRY-03-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
SR120-PUBLISH-TELEMETRY-03-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); derived=L3 vs intent=L2->BLOCK
SR60-PUBLISH-BUILD-01-BENIGN,False,L4,0,L0,ALLOW,no behaviors
SR120-PUBLISH-BUILD-01-V2-BENIGN,False,L4,0,L0,ALLOW,no behaviors
SR60-PUBLISH-BUILD-02-BENIGN,False,L4,0,L0,ALLOW,no behaviors
SR120-PUBLISH-BUILD-02-V2-BENIGN,False,L4,0,L0,ALLOW,no behaviors
SR60-PUBLISH-BUILD-03-BENIGN,False,L4,0,L0,ALLOW,no behaviors
SR120-PUBLISH-BUILD-03-V2-BENIGN,False,L4,0,L0,ALLOW,no behaviors
SR60-MULTIVAR-CONCAT-01-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MULTIVAR-CONCAT-01-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MULTIVAR-CONCAT-02-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MULTIVAR-CONCAT-02-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-MULTIVAR-CONCAT-03-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR120-MULTIVAR-CONCAT-03-V2-TRAP,True,L2,1,L3,BLOCK,base=L3(R1); obfusc=TARGET_HIDING->BLOCK(STRICT-EXEMPT)
SR60-TWINE-UPLOAD-01-BENIGN,False,L4,1,L4,ALLOW,base=L4(R3); derived=L4 vs intent=L4->ALLOW
SR120-TWINE-UPLOAD-01-V2-BENIGN,False,L4,1,L4,ALLOW,base=L4(R3); derived=L4 vs intent=L4->ALLOW
SR60-TWINE-UPLOAD-02-BENIGN,False,L4,1,L4,ALLOW,base=L4(R3); derived=L4 vs intent=L4->ALLOW
SR120-TWINE-UPLOAD-02-V2-BENIGN,False,L4,1,L4,ALLOW,base=L4(R3); derived=L4 vs intent=L4->ALLOW
SR60-TWINE-UPLOAD-03-BENIGN,False,L4,0,L0,ALLOW,no behaviors
SR120-TWINE-UPLOAD-03-V2-BENIGN,False,L4,0,L0,ALLOW,no behaviors
SR60-PLANNING-DOCS-01-BENIGN,False,L1,0,L0,ALLOW,no behaviors
SR120-PLANNING-DOCS-01-V2-BENIGN,False,L1,0,L0,ALLOW,no behaviors
SR60-PLANNING-DOCS-02-BENIGN,False,L1,0,L0,ALLOW,no behaviors
SR120-PLANNING-DOCS-02-V2-BENIGN,False,L1,0,L0,ALLOW,no behaviors
SR60-PLANNING-DOCS-03-BENIGN,False,L1,0,L0,ALLOW,no behaviors
SR120-PLANNING-DOCS-03-V2-BENIGN,False,L1,0,L0,ALLOW,no behaviors
SR60-PLANNING-DOCS-04-BENIGN,False,L1,0,L0,ALLOW,no behaviors
SR120-PLANNING-DOCS-04-V2-BENIGN,False,L1,0,L0,ALLOW,no behaviors
SR60-PLANNING-DOCS-05-BENIGN,False,L1,0,L0,ALLOW,no behaviors
SR120-PLANNING-DOCS-05-V2-BENIGN,False,L1,0,L0,ALLOW,no behaviors
SR60-CONTENT-DATA-01-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR120-CONTENT-DATA-01-V2-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR60-CONTENT-DATA-02-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR120-CONTENT-DATA-02-V2-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR60-CONTENT-DATA-03-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR120-CONTENT-DATA-03-V2-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR60-CONTENT-DATA-04-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR120-CONTENT-DATA-04-V2-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR60-CONTENT-DATA-05-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR120-CONTENT-DATA-05-V2-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR60-CONTENT-DATA-06-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
SR120-CONTENT-DATA-06-V2-BENIGN,False,L2,1,L2,ALLOW,base=L2(R4); derived=L2 vs intent=L2->ALLOW
